name	company_id	game_uid
Money Coming	1	db249defce63610fccabfa829a405232
Fortune Gems	1	a990de177577a2e6a889aaac5f57b429
Fortune Gems 2	1	664fba4da609ee82b78820b1f570f4ad
Super Ace	1	bdfb23c974a2517198c5443adeea77a8
Charge Buffalo	1	984615c9385c42b3dad0db4a9ef89070
Golden Empire	1	490096198e28f770a3f85adb6ee49e0f
Super Ace Deluxe	1	80aad2a10ae6a95068b50160d6c78897
Fortune Gems 3	1	63927e939636f45e9d6d0b3717b3b1c1
Boxing King	1	981f5f9675002fbeaaf24c4128b938d7
Mega Ace	1	eba92b1d3abd5f0d37dfbe112abdf0e2
Ali Baba	1	cc686634b4f953754b306317799f1f39
Wild Ace	1	9a3b65e2ae5343df349356d548f3fc4b
Crazy Hunter	1	69082f28fcd46cbfd10ce7a0051f24b6
Charge Buffalo Ascent	1	28bc4a33c985ddce6acd92422626b76f
RomaX	1	e5ff8e72418fcc608d72ea21cc65fb70
Money Pot	1	a5acbbb7ae534d303f67cb447dc8723d
3 Coin Treasures	1	69c1b4586b5060eefcb45bb479f03437
Aztec Priestess	1	6acff19b2d911a8c695ba24371964807
Golden Bank	1	c3f86b78938eab1b7f34159d98796e88
Devil Fire	1	1b4c5865131b4967513c1ee90cba4472
Fengshen	1	09699fd0de13edbb6c4a194d7494640b
SevenSevenSeven	1	61d46add6841aad4758288d68015eca6
Golden Joker	1	f301fe0b22d1540b1f215d282b20c642
Poseidon	1	50a1bcbc2ef4a5f761e0e4d338a41699
Jungle King	1	4db0ec24ff55a685573c888efed47d7f
Fortune Monkey	1	add95fc40f1ef0d56f5716ce45a56946
Bubble Beauty	1	a78d2ed972aab8ba06181cc43c54a425
JILI CAISHEN	1	11e330c2b23f106815f3b726d04e4316
Pharaoh Treasure	1	c7a69ab382bd1ff0e6eb65b90a793bdd
Party Night	1	d505541d522aa5ca01fc5e97cfcf2116
Gold Rush	1	2a5d731e0fd60f52873a24ece11f2c0b
3 Lucky Piggy	1	e09d4c9612ea540bc0afabf76e4f9148
Super Rich	1	b92f491a63ac84b106b056e9d46d35c5
Night City	1	78e29705f7c6084114f46a0aeeea1372
Secret Treasure	1	1d1f267e3a078ade8e5ccd56582ac94f
Golden Temple	1	976c5497256c020ac012005f6bb166ad
Pirate Queen	1	70999d5bcf2a1d1f1fb8c82e357317f4
FortunePig	1	8488c76ee2afb8077fbd7eec62721215
Lucky Coming	1	ba858ec8e3b5e2b4da0d16b3a2330ca7
Dragon Treasure	1	c6955c14f6c28a6c2a0c28274fec7520
Fa Fa Fa	1	54c41adcf43fdb6d385e38bc09cd77ca
Mayan Empire	1	5c2383ef253f9c36dacec4b463d61622
Fortune Tree	1	6a7e156ceec5c581cd6b9251854fe504
Book of Gold	1	6b283c434fd44250d83b7c2420f164f9
3 Pot Dragons	1	921dce2d616e5d0577135bb2d9214946
Hot Chilli	1	c845960c81d27d7880a636424e53964d
Bonus Hunter	1	39775cdc4170e56c5f768bdee8b4fa00
War Of Dragons	1	4b1d7ffaf9f66e6152ea93a6d0e4215b
Bangla Beauty	1	6b60d159f0939a45f7b4c88a9b57499a
God Of Martial	1	21ef8a7ddd39836979170a2e7584e333
Lucky Goldbricks	1	d84ef530121953240116e3b2e93f6af4
Sweet Land	1	91250a55f75a3c67ed134b99bf587225
Cricket King 18	1	dcf220f4e3ecca0278911a55e6f11c77
Neko Fortune	1	9a391758f755cb30ff973e08b2df6089
Crazy FaFaFa	1	a57a8d5176b54d4c825bd1eee8ab34df
Crazy777	1	8c62471fd4e28c084a61811a3958f7a1
Chin Shi Huang	1	24da72b49b0dd0e5cbef9579d09d8981
Gem Party	1	756cf3c73a323b4bfec8d14864e3fada
Lucky Ball	1	893669898cd25d9da589a384f1d004df
Hyper Burst	1	a47b17970036b37c1347484cf6956920
Shanghai Beauty	1	795d0cae623cbf34d7f1aa93bbcded28
Candy Baby	1	2cc3b68cbcfacac2f7ef2fe19abc3c22
Hawaii Beauty	1	6409b758471b6df30c6b137b49f4d92e
Bao boon chin	1	8c4ebb3dc5dcf7b7fe6a26d5aadd2c3d
XiYangYang	1	5a962d0e31e0d4c0798db5f331327e4f
DiamondParty	1	48d598e922e8c60643218ccda302af08
Golden Queen	1	8de99455c2f23f6827666fd798eb80ef
Monkey Party	1	fd369a4a7486ff303beea267ec5c8eff
Magic Lamp	1	582a58791928760c28ec4cef3392a49f
Agent Ace	1	8a4b4929e796fda657a2d38264346509
TWIN WINS	1	c74b3cbda5d16f77523e41c25104e602
Medusa	1	2c17b7c4e2ce5b8bebf4bd10e3e958d7
Thor X	1	7e6aa773fa802aaa9cb1f2fac464736e
Happy Taxi	1	1ed896aae4bdc78c984021307b1dd177
Crazy Pusher	1	00d92d5cec10cf85623938222a6c2bb6
Bone Fortune	1	aab3048abc6a88e0759679fbe26e6a8d
World Cup	1	28374b7ad7c91838a46404f1df046e5a
Samba	1	6d35789b2f419c1db3926350d57c58d8
Wild Racer	1	2f0c5f96cda3c6e16b3929dd6103df8e
Master Tiger	1	d2b48fe98ac2956eeefd2bc4f7e0335a
Elf Bingo	1	5cec2b309a8845b38f8e9b4e6d649ea2
Cricket Sah 75	1	6720a0ce1d06648ff390fbea832798a9
Dabanggg	1	5404a45b06826911c3537fdf935c281f
Sin City	1	830cac2f5da6cc1fb91cfae04b85b1e2
King Arthur	1	fafab1a17a237d0fc0e50c20d2c2bf4c
Witches Night	1	82c5c404cf4c0790deb42a2b5653533c
Nightfall Hunting	1	ced5e3de03293fc6fb111298a504cfeb
Shōgun	1	68724804a3cd30c749e460256b462f00
Devil Fire 2	1	0426ba674c9dd29de6fa023afcf0640d
Legacy of Egypt	1	1310248a5eab24b4bf113a6e0ee7962a
Lucky Jaguar	1	731e642b1fee94725e7313f3dfba8f45
